N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
787,12.1728,0,0,0,0,0,0,0,0,0,2,31,137,338,220,56,3,0,0,0,0,0,2,2,0,0,0.9936,380,212,104,47,23,12,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
796,12.2739,0,0,0,0,0,0,0,0,0,2,22,120,334,251,64,3,0,0,0,0,0,2,0,2,0,0.9334,412,210,84,38,32,7,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1649,12.2923,0,0,0,0,0,0,0,0,0,2,8,96,1008,474,57,4,0,0,0,0,0,315,122,0,2,9.6992,55,30,34,33,36,44,56,59,92,101,136,171,638,154,10,0,0,0,0,0,0,0
2232,12.1384,0,0,0,0,0,0,0,0,0,0,4,57,1826,317,27,1,0,0,0,0,0,908,355,0,9,11.112,24,11,23,18,15,12,17,30,83,79,85,157,1516,153,9,0,0,0,0,0,0,0
3141,12.1353,0,0,0,0,0,0,0,0,0,0,11,98,2526,469,35,2,0,0,0,0,0,1265,437,1,20,10.8854,34,29,34,28,26,27,41,58,160,113,115,259,2003,209,5,0,0,0,0,0,0,0
4760,12.1349,0,0,0,0,0,0,0,0,0,2,20,194,3735,739,67,3,0,0,0,0,0,1836,597,0,22,10.7277,78,58,60,40,53,66,54,82,228,150,203,448,2934,298,8,0,0,0,0,0,0,0
5749,12.1148,0,0,0,0,0,0,0,0,0,2,15,180,4733,763,55,1,0,0,0,0,0,2477,814,0,32,11.1374,20,25,47,43,43,45,65,98,256,154,225,480,3884,360,4,0,0,0,0,0,0,0
7205,12.1092,0,0,0,0,0,0,0,0,2,7,37,268,5811,1005,72,3,0,0,0,0,0,3102,866,0,38,11.0303,60,64,51,70,63,55,90,103,293,225,285,553,4810,475,8,0,0,0,0,0,0,0
8699,12.1002,0,0,0,0,0,0,0,0,0,6,37,241,7261,1106,45,3,0,0,0,0,0,3872,1175,1,51,11.1637,45,43,84,49,59,62,75,128,389,249,307,625,6033,545,6,0,0,0,0,0,0,0
9674,12.1077,0,0,0,0,0,0,0,0,0,1,23,235,8150,1206,57,2,0,0,0,0,0,4507,1326,0,59,11.32,23,33,56,65,53,41,63,103,442,264,330,635,6914,639,13,0,0,0,0,0,0,0
635,12.1748,0,0,0,0,0,0,0,0,0,3,21,108,279,180,42,2,0,0,0,0,0,0,1,0,1,1.1937,309,132,82,59,18,16,8,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
637,12.3093,0,0,0,0,0,0,0,0,0,0,11,90,282,202,49,3,0,0,0,0,0,0,1,0,0,1.2716,294,166,64,36,35,15,15,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0
1233,12.2717,0,0,0,0,0,0,0,0,0,1,33,171,560,368,93,7,0,0,0,0,0,4,4,0,1,1.2628,555,298,177,78,53,30,19,9,4,5,2,1,2,0,0,0,0,0,0,0,0,0
1665,12.445,0,0,0,0,0,0,0,0,1,3,8,99,803,637,110,4,0,0,0,0,0,228,40,0,1,9.7712,40,25,32,35,48,48,60,81,90,111,135,215,453,242,50,0,0,0,0,0,0,0
2314,12.4438,0,0,0,0,0,0,0,1,1,1,8,95,1218,831,158,1,0,0,0,0,0,409,78,0,0,10.6642,83,27,20,26,34,26,34,54,51,95,136,284,915,449,80,0,0,0,0,0,0,0
3409,12.1346,0,0,0,0,0,0,0,0,0,1,12,94,2760,504,38,0,0,0,0,0,0,1732,230,0,0,11.5656,13,5,5,11,14,15,29,31,33,78,113,284,2482,291,5,0,0,0,0,0,0,0
4206,12.1098,0,0,0,0,0,0,0,0,0,2,23,158,3408,563,47,5,0,0,0,0,0,1918,344,0,0,11.3695,43,14,15,21,19,23,33,45,56,107,151,361,3027,281,10,0,0,0,0,0,0,0
5441,12.1134,0,0,0,0,0,0,0,0,1,1,17,218,4393,752,53,6,0,0,0,0,0,2425,602,0,0,11.2489,59,32,30,36,39,39,42,63,69,143,226,461,3841,355,6,0,0,0,0,0,0,0
6659,12.1119,0,0,0,0,0,0,1,0,2,6,38,253,5335,944,78,2,0,0,0,0,0,2809,826,0,2,11.2562,65,55,42,46,47,41,54,61,116,149,217,585,4701,472,8,0,0,0,0,0,0,0
7887,12.1098,0,0,0,0,0,0,0,0,0,3,26,239,6528,1018,71,2,0,0,0,0,0,3380,1188,0,2,11.4105,35,26,21,34,31,52,78,99,117,206,327,616,5757,472,16,0,0,0,0,0,0,0
517,12.2379,0,0,0,0,0,0,0,0,0,0,14,93,212,152,46,0,0,0,0,0,0,0,0,1,0,0.7911,292,128,48,28,8,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,12.2595,0,0,0,0,0,0,0,0,0,0,13,90,220,159,44,2,0,0,0,0,0,0,1,0,0,1.0114,257,140,71,33,9,5,7,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
875,12.368,0,0,0,0,0,0,0,0,0,0,2,60,464,312,37,0,0,0,0,0,0,62,49,0,3,7.4926,71,54,41,36,41,37,48,55,63,64,64,97,151,51,2,0,0,0,0,0,0,0
1278,12.392,0,0,0,0,0,0,0,0,0,0,0,55,734,422,67,0,0,0,0,0,0,350,52,0,0,10.8545,31,12,18,13,13,16,19,16,30,55,54,143,602,229,27,0,0,0,0,0,0,0
1967,12.1301,0,0,0,0,0,0,0,0,1,0,11,91,1531,296,35,1,1,0,0,0,0,732,289,0,1,10.6197,63,34,19,17,20,23,21,37,41,70,80,174,1272,94,2,0,0,0,0,0,0,0
2607,12.1346,0,0,0,0,0,0,0,0,0,1,5,71,2128,370,31,1,0,0,0,0,0,910,507,0,2,11.1949,27,17,11,20,21,18,23,31,44,67,111,284,1766,162,5,0,0,0,0,0,0,0
3341,12.1479,0,0,0,0,0,0,0,0,1,0,11,130,2601,551,42,5,0,0,0,0,0,1078,587,0,0,10.8336,78,59,30,35,23,25,35,39,61,102,145,329,2147,230,3,0,0,0,0,0,0,0
4166,12.1104,0,0,0,0,0,0,0,0,0,2,23,146,3388,561,41,5,0,0,0,0,0,1305,982,0,0,11.265,21,16,13,28,27,33,42,67,90,107,181,418,2884,235,4,0,0,0,0,0,0,0
4875,12.1214,0,0,0,0,0,0,0,0,0,0,15,134,4020,657,48,1,0,0,0,0,0,1632,1150,0,0,11.5707,8,8,13,15,13,12,19,45,76,111,178,483,3545,339,10,0,0,0,0,0,0,0
6048,12.1023,0,0,0,0,0,0,0,0,0,2,15,182,5055,753,39,2,0,0,0,0,0,2129,1486,0,6,11.4259,17,17,22,21,27,44,47,76,111,139,233,493,4472,324,5,0,0,0,0,0,0,0
389,12.162,0,0,0,0,0,0,0,0,1,1,9,82,160,102,34,0,0,0,0,0,0,1,1,0,0,0.8972,203,96,51,19,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,12.2782,0,0,0,0,0,0,0,0,0,0,17,55,171,114,40,2,0,0,0,0,0,0,0,0,0,0.6065,242,103,34,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,12.3794,0,0,0,0,0,0,0,0,0,0,11,105,337,274,73,4,0,0,0,0,0,2,7,0,1,2.2338,279,186,100,62,35,28,28,21,15,17,18,6,8,0,1,0,0,0,0,0,0,0
1075,12.574,0,0,0,0,0,0,0,0,0,1,4,49,450,465,106,0,0,0,0,0,0,108,17,0,0,10.2121,31,14,12,24,23,20,33,39,51,68,83,118,268,233,58,0,0,0,0,0,0,0
1311,12.6278,0,0,0,0,0,0,0,0,0,0,3,47,510,626,125,0,0,0,0,0,0,183,38,0,0,11.196,13,8,9,13,13,15,19,13,42,64,78,169,448,344,63,0,0,0,0,0,0,0
1611,12.5351,0,0,0,0,0,0,0,0,0,0,8,79,728,637,157,2,0,0,0,0,0,220,43,0,0,11.1068,26,12,10,10,13,15,27,34,52,76,116,184,547,390,99,0,0,0,0,0,0,0
2020,12.5287,0,0,0,0,0,0,0,0,0,0,4,53,980,839,142,2,0,0,0,0,0,371,71,0,1,11.6173,5,5,12,3,16,13,26,31,49,57,92,192,841,594,84,0,0,0,0,0,0,0
3180,12.1821,0,0,0,0,0,0,0,0,0,0,18,155,2307,633,64,3,0,0,0,0,0,1083,307,0,2,10.3846,80,63,50,44,49,35,71,67,95,122,182,337,1735,243,7,0,0,0,0,0,0,0
3717,12.1186,0,0,0,0,0,0,0,0,0,2,9,125,3034,508,35,4,0,0,0,0,0,1580,470,0,19,11.0885,35,27,31,24,34,29,34,51,149,107,128,307,2494,265,2,0,0,0,0,0,0,0
4708,12.1189,0,0,0,0,0,0,0,0,0,2,11,189,3788,663,51,4,0,0,0,0,0,1988,529,0,21,10.9252,45,30,48,37,58,52,63,96,179,147,212,373,3108,257,3,0,0,0,0,0,0,0
258,12.124,0,0,0,0,0,0,0,1,0,4,13,47,90,84,19,0,0,0,0,0,0,0,0,0,0,0.6124,160,67,16,7,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,12.2334,0,0,0,0,0,0,0,0,0,0,10,51,116,83,26,1,0,0,0,0,0,0,0,0,0,0.7526,157,75,35,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,12.4836,0,0,0,0,0,0,0,0,0,1,7,36,252,234,48,1,0,0,0,0,0,41,3,0,0,6.6477,73,35,34,34,21,36,39,33,38,39,48,44,74,26,5,0,0,0,0,0,0,0
905,12.4331,0,0,0,0,0,0,0,0,0,0,1,37,486,332,48,1,0,0,0,0,0,131,59,0,1,9.9436,10,12,12,21,17,23,26,43,63,75,79,151,237,118,18,0,0,0,0,0,0,0
1211,12.4476,0,0,0,0,0,0,0,0,0,0,2,54,634,443,77,1,0,0,0,0,0,189,79,0,0,9.9306,30,30,13,24,28,15,32,46,81,86,104,153,376,162,31,0,0,0,0,0,0,0
1532,12.3734,0,0,0,0,0,0,0,0,0,0,7,93,838,510,83,1,0,0,0,0,0,241,86,0,1,9.626,66,40,21,23,28,30,50,71,83,109,129,195,489,183,15,0,0,0,0,0,0,0
1783,12.3309,0,0,0,0,0,0,0,0,0,1,8,77,1092,526,77,2,0,0,0,0,0,441,144,0,7,10.7616,36,26,6,11,16,21,28,47,83,74,106,218,811,269,31,0,0,0,0,0,0,0
2448,12.1989,0,0,0,0,0,0,0,0,0,0,7,109,1782,493,54,3,0,0,0,0,0,830,264,0,8,10.2447,83,52,49,44,27,41,37,51,97,90,111,193,1368,200,5,0,0,0,0,0,0,0
3164,12.1688,0,0,0,0,0,0,0,0,0,0,17,143,2356,588,57,3,0,0,0,0,0,1082,413,0,20,10.3998,57,45,57,47,49,53,46,85,164,126,152,295,1785,200,3,0,0,0,0,0,0,0
3809,12.1441,0,0,0,0,0,0,0,0,0,0,4,111,3058,604,32,0,0,0,0,0,0,1629,450,0,20,11.2014,11,19,24,18,20,29,44,71,154,105,153,357,2531,269,4,0,0,0,0,0,0,0
181,12.453,0,0,0,0,0,0,0,0,0,1,1,23,68,66,22,0,0,0,0,0,0,0,0,0,0,0.6851,97,58,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,12.24,0,0,0,0,0,0,0,0,0,2,4,42,93,60,22,2,0,0,0,0,0,0,0,0,0,0.9156,115,53,37,11,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
552,12.4149,0,0,0,0,0,0,0,0,0,1,2,38,269,210,32,0,0,0,0,0,0,60,20,0,1,6.9783,51,38,34,23,19,26,47,47,37,39,32,43,89,26,1,0,0,0,0,0,0,0
655,12.2794,0,0,0,0,0,0,0,0,0,0,3,26,427,184,14,1,0,0,0,0,0,132,78,0,7,9.2977,15,21,9,19,28,20,18,25,64,47,42,72,224,50,1,0,0,0,0,0,0,0
887,12.2649,0,0,0,0,0,0,0,0,0,0,0,32,611,222,21,1,0,0,0,0,0,177,133,0,20,9.115,17,19,35,14,31,27,33,49,100,68,65,85,316,27,1,0,0,0,0,0,0,0
1218,12.2381,0,0,0,0,0,0,0,0,0,0,8,57,818,308,26,1,0,0,0,0,0,248,160,0,13,9.0936,26,40,39,27,36,54,45,72,112,73,72,120,431,70,1,0,0,0,0,0,0,0
1582,12.2054,0,0,0,0,0,0,0,0,0,0,2,86,1124,328,39,3,0,0,0,0,0,424,205,0,13,9.6277,44,32,31,40,43,31,51,58,128,95,92,159,689,84,5,0,0,0,0,0,0,0
1921,12.1926,0,0,0,0,0,0,0,0,0,0,1,95,1400,386,36,3,0,0,0,0,0,602,281,0,21,9.8277,44,44,54,37,33,39,48,62,157,87,104,168,936,104,4,0,0,0,0,0,0,0
2282,12.234,0,0,0,0,0,0,0,0,0,1,1,83,1636,503,56,1,1,0,0,0,0,712,269,0,15,10.5548,24,22,27,27,38,37,35,59,138,109,129,267,1165,193,12,0,0,0,0,0,0,0
2529,12.2064,0,0,0,0,0,0,0,0,0,0,7,77,1875,528,41,1,0,0,0,0,0,774,367,0,23,10.5425,20,31,37,34,31,32,53,66,192,94,125,232,1370,201,11,0,0,0,0,0,0,0
199,12.3467,0,0,0,0,0,0,0,0,0,0,2,34,78,66,16,3,0,0,0,0,0,0,0,0,0,0.7739,117,52,13,6,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
217,12.3825,0,0,0,0,0,0,0,0,0,0,4,32,86,70,22,3,0,0,0,0,0,0,0,0,1,0.7281,133,38,28,12,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,12.5129,0,0,0,0,0,0,0,0,0,0,2,13,188,154,31,0,0,0,0,0,0,68,7,0,0,9.268,16,12,10,6,12,12,14,18,16,30,38,53,102,43,6,0,0,0,0,0,0,0
485,12.2742,0,0,0,0,0,0,0,0,0,0,4,16,325,125,13,2,0,0,0,0,0,194,12,0,0,10.7959,16,6,1,6,5,7,9,3,14,9,22,42,280,65,0,0,0,0,0,0,0,0
709,12.5416,0,0,0,0,0,0,0,0,0,0,0,15,361,270,60,3,0,0,0,0,0,157,24,0,0,11.6065,2,1,0,6,3,5,9,9,16,22,33,79,313,179,32,0,0,0,0,0,0,0
817,12.2105,0,0,0,0,0,0,0,0,0,0,1,19,620,162,14,1,0,0,0,0,0,338,75,0,0,11.1212,4,3,2,4,11,10,13,18,15,28,47,89,504,66,3,0,0,0,0,0,0,0
979,12.1706,0,0,0,0,0,0,0,0,0,0,1,27,772,162,17,0,0,0,0,0,0,411,117,0,0,11.4954,6,0,4,1,0,5,8,8,13,30,48,109,654,89,4,0,0,0,0,0,0,0
1375,12.1571,0,0,0,0,0,0,0,0,0,1,4,49,1070,227,23,1,0,0,0,0,0,568,133,0,1,10.96,17,22,11,14,15,11,12,17,28,45,59,129,896,98,1,0,0,0,0,0,0,0
1742,12.1418,0,0,0,0,0,0,0,0,0,0,2,46,1420,252,21,1,0,0,0,0,0,828,137,0,0,11.3473,9,10,8,9,12,7,19,20,26,36,72,162,1236,113,3,0,0,0,0,0,0,0
2529,12.1538,0,0,0,0,0,0,0,0,0,3,14,135,1873,455,42,6,1,0,0,0,0,967,209,0,0,9.996,135,77,60,38,39,36,28,45,69,77,97,189,1453,184,2,0,0,0,0,0,0,0
1053,12.3067,0,0,0,0,0,0,0,0,0,1,16,147,469,339,77,4,0,0,0,0,0,7,10,0,4,1.7626,398,248,148,86,47,40,26,24,12,9,6,5,2,2,0,0,0,0,0,0,0,0
1077,12.273,0,0,0,0,0,0,0,0,0,0,21,169,477,324,78,7,1,0,0,0,0,4,3,0,1,1.6583,433,272,119,85,46,45,23,17,8,9,12,6,2,0,0,0,0,0,0,0,0,0
3435,12.2425,0,0,0,0,0,0,0,0,0,2,74,568,1482,1079,215,14,1,0,0,0,0,38,20,1,3,2.1793,1362,718,359,229,154,132,107,93,76,49,43,50,54,9,0,0,0,0,0,0,0,0
5437,12.3068,0,0,0,0,0,0,0,1,0,5,59,476,2869,1782,235,10,0,0,0,0,0,598,278,0,2,8.4043,405,274,234,173,196,176,192,234,281,288,366,587,1435,542,54,0,0,0,0,0,0,0
8498,12.1745,0,0,0,0,0,0,0,0,1,4,49,503,6016,1753,169,3,0,0,0,0,0,2203,902,0,45,9.843,234,190,209,144,177,200,242,273,481,415,531,830,3946,604,22,0,0,0,0,0,0,0
10702,12.1466,0,0,0,0,0,0,0,0,0,0,17,436,8326,1807,116,0,0,0,0,0,0,3702,1336,0,60,10.8304,75,68,118,100,115,132,182,246,527,417,544,1010,6358,786,24,0,0,0,0,0,0,0
11067,12.1588,0,0,0,0,0,0,0,0,0,0,8,345,8726,1861,124,3,0,0,0,0,0,3933,1388,0,58,10.9558,56,70,114,95,94,123,162,209,535,369,524,1077,6780,835,24,0,0,0,0,0,0,0
11265,12.1302,0,0,0,0,0,0,0,0,0,1,11,367,9106,1703,75,2,0,0,0,0,0,4289,1450,0,68,11.0407,65,62,89,93,91,110,178,169,527,318,489,1033,7193,829,19,0,0,0,0,0,0,0
11397,12.1404,0,0,0,0,0,0,0,0,0,0,15,331,9186,1770,94,1,0,0,0,0,0,4335,1368,0,67,11.0109,54,63,90,91,91,106,167,226,530,395,519,1090,7167,794,14,0,0,0,0,0,0,0
11489,12.1306,0,0,0,0,0,0,0,0,0,0,10,337,9367,1694,79,2,0,0,0,0,0,4382,1421,0,73,10.9935,53,58,98,103,117,122,170,224,517,355,522,1029,7381,727,13,0,0,0,0,0,0,0
984,12.3008,0,0,0,0,0,0,0,0,0,0,21,144,419,324,71,4,1,0,0,0,0,3,5,0,1,1.4787,454,217,101,79,46,24,20,12,11,7,7,3,2,1,0,0,0,0,0,0,0,0
999,12.2012,0,0,0,0,0,0,0,0,0,0,26,176,449,271,73,4,0,0,0,0,0,4,0,1,1,1.6086,455,227,95,68,39,34,19,21,12,8,8,7,4,2,0,0,0,0,0,0,0,0
3084,12.1751,0,0,0,0,0,0,0,0,0,3,93,584,1304,892,197,11,0,0,0,0,0,5,4,0,2,1.0483,1608,740,321,178,86,51,42,27,17,5,3,6,0,0,0,0,0,0,0,0,0,0
4819,12.3335,0,0,0,0,0,0,0,0,2,3,65,572,2164,1709,295,9,0,0,0,0,0,216,94,0,2,5.9672,705,476,342,285,276,281,252,238,290,298,246,307,520,267,36,0,0,0,0,0,0,0
7751,12.3523,0,0,0,0,0,0,0,0,0,1,33,434,4362,2616,297,8,0,0,0,0,0,1261,418,0,2,10.3463,150,109,114,111,126,138,181,232,338,435,619,981,2920,1178,119,0,0,0,0,0,0,0
9843,12.1854,0,0,0,0,0,0,0,0,0,3,25,376,7318,1984,135,2,0,0,0,0,0,3415,794,0,19,11.1569,39,56,69,63,79,100,116,169,338,314,463,1005,5955,1014,63,0,0,0,0,0,0,0
10670,12.1459,0,0,0,0,0,0,0,0,0,2,18,280,8566,1730,73,1,0,0,0,0,0,4441,944,0,24,11.4708,15,21,33,42,38,68,80,115,268,281,424,934,7358,982,11,0,0,0,0,0,0,0
11105,12.1127,0,0,0,0,0,0,0,0,0,0,5,259,9370,1423,47,1,0,0,0,0,0,5309,1037,0,44,11.5782,11,20,35,39,28,35,54,85,305,206,306,859,8237,874,11,0,0,0,0,0,0,0
11265,12.1017,0,0,0,0,0,0,0,0,0,0,4,208,9734,1278,39,2,0,0,0,0,0,5571,1194,0,40,11.6544,10,15,37,28,28,25,36,71,302,153,247,723,8741,830,19,0,0,0,0,0,0,0
11364,12.1101,0,0,0,0,0,0,0,0,0,0,4,233,9684,1395,47,1,0,0,0,0,0,5449,1118,0,35,11.637,13,19,38,26,29,28,38,70,296,202,263,757,8668,901,16,0,0,0,0,0,0,0
910,12.2538,0,0,0,0,0,0,0,0,0,0,17,150,407,266,61,9,0,0,0,0,0,0,1,1,0,0.8352,474,239,119,46,20,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
913,12.241,0,0,0,0,0,0,0,0,0,2,28,154,370,288,66,4,1,0,0,0,0,0,2,0,0,1.0033,472,233,91,48,27,20,13,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2163,12.2164,0,0,0,0,0,0,0,0,0,1,55,375,925,664,137,6,0,0,0,0,0,4,4,0,1,1.4045,1028,502,234,120,82,60,43,27,24,16,13,6,4,3,1,0,0,0,0,0,0,0
3033,12.2948,0,0,0,0,0,0,0,0,0,4,35,301,1571,970,149,3,0,0,0,0,0,236,157,0,4,7.0251,378,237,159,148,126,127,123,154,155,175,217,252,591,170,21,0,0,0,0,0,0,0
4518,12.3158,0,0,0,0,0,0,0,0,0,0,22,306,2608,1393,183,6,0,0,0,0,0,661,293,0,14,9.4216,125,89,91,115,137,134,172,222,330,308,372,568,1382,439,34,0,0,0,0,0,0,0
6421,12.2834,0,0,0,0,0,0,0,1,0,3,39,439,3823,1886,225,5,0,0,0,0,0,1137,444,0,13,9.2046,330,192,181,140,161,160,198,284,369,418,489,737,2154,562,46,0,0,0,0,0,0,0
8472,12.2517,0,0,0,0,0,0,0,0,0,2,31,523,5426,2260,227,3,0,0,0,0,0,1720,751,0,26,10.0853,135,146,132,141,180,183,244,302,459,512,651,1006,3480,833,68,0,0,0,0,0,0,0
9806,12.211,0,0,0,0,0,0,0,0,0,0,25,482,6874,2250,174,1,0,0,0,0,0,2519,1088,0,14,10.7217,73,76,110,86,126,123,172,249,466,492,630,1197,5053,912,41,0,0,0,0,0,0,0
10421,12.231,0,0,0,0,0,0,0,0,0,0,17,462,7289,2406,244,3,0,0,0,0,0,2791,1099,0,31,10.8061,80,93,93,118,100,131,204,258,421,474,656,1110,5486,1102,95,0,0,0,0,0,0,0
10755,12.2208,0,0,0,0,0,0,0,0,0,1,28,432,7660,2404,228,2,0,0,0,0,0,3166,1115,0,33,10.9829,71,76,75,81,93,130,181,237,411,417,584,1119,6048,1129,103,0,0,0,0,0,0,0
801,12.1935,0,0,0,0,0,0,0,0,0,3,22,145,328,258,40,5,0,0,0,0,0,0,0,0,0,0.7553,432,234,72,42,10,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,12.2191,0,0,0,0,0,0,0,0,0,0,25,146,336,252,51,7,0,0,0,0,0,0,0,0,0,0.8849,432,213,85,45,24,5,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,12.425,0,0,0,0,0,0,0,0,0,1,13,166,650,614,122,1,0,0,0,0,0,82,16,0,0,6.7301,236,144,88,84,58,61,57,67,87,63,96,123,218,156,29,0,0,0,0,0,0,0
2254,12.4113,0,0,0,0,0,0,0,0,0,0,8,124,1166,846,109,1,0,0,0,0,0,305,76,0,0,10.0581,75,45,39,47,37,57,53,67,85,117,164,267,785,367,49,0,0,0,0,0,0,0
3186,12.3914,0,0,0,0,0,0,0,0,0,0,4,137,1821,1061,159,3,1,0,0,0,0,773,144,0,0,11.0804,49,32,24,26,32,38,41,67,80,107,155,297,1499,643,96,0,0,0,0,0,0,0
4420,12.248,0,0,0,0,0,0,0,0,0,1,12,173,3048,1077,108,1,0,0,0,0,0,1410,331,0,5,11.0636,29,36,22,30,44,50,53,93,149,175,251,428,2468,553,39,0,0,0,0,0,0,0
5675,12.1771,0,0,0,0,0,0,0,0,1,2,22,246,4167,1169,68,0,0,0,0,0,0,1968,458,0,15,10.8164,90,73,53,39,57,57,82,115,207,196,297,595,3256,542,16,0,0,0,0,0,0,0
7477,12.1242,0,0,0,0,0,0,0,0,1,2,17,270,5990,1153,42,2,0,0,0,0,0,3009,718,0,21,11.2633,18,26,43,44,46,59,79,111,254,223,330,655,4968,612,9,0,0,0,0,0,0,0
8689,12.1058,0,0,0,0,0,0,0,0,0,1,21,262,7232,1121,51,1,0,0,0,0,0,3916,825,0,35,11.3379,14,25,57,41,39,55,82,125,315,207,289,721,6103,609,7,0,0,0,0,0,0,0
9608,12.1039,0,0,0,0,0,0,0,0,0,0,19,251,8096,1199,41,2,0,0,0,0,0,4355,947,0,33,11.3626,22,28,49,47,49,59,78,117,350,221,318,748,6863,652,7,0,0,0,0,0,0,0
640,12.1609,0,0,0,0,0,0,0,1,1,1,25,122,259,177,52,2,0,0,0,0,0,0,0,1,0,0.7891,356,165,67,29,10,6,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
654,12.1667,0,0,0,0,0,0,0,0,0,2,24,117,287,172,48,4,0,0,0,0,0,1,0,0,0,1.2446,310,158,77,47,25,10,7,8,5,3,0,2,2,0,0,0,0,0,0,0,0,0
1340,12.2172,0,0,0,0,0,0,0,0,0,4,33,245,554,403,93,7,1,0,0,0,0,4,1,0,0,1.5604,595,312,151,72,64,46,34,18,19,13,5,7,3,1,0,0,0,0,0,0,0,0
1754,12.4949,0,0,0,0,0,0,0,0,0,1,11,83,817,712,127,2,1,0,0,0,0,184,55,0,0,10.2161,42,28,30,24,34,36,42,48,83,120,150,220,524,319,54,0,0,0,0,0,0,0
2415,12.2886,0,0,0,0,0,0,0,0,0,1,11,108,1543,676,74,2,0,0,0,0,0,583,164,0,5,10.323,64,40,28,29,38,44,53,68,111,108,173,255,1086,298,20,0,0,0,0,0,0,0
2962,12.1989,0,0,0,0,0,0,0,0,1,0,5,101,2207,592,56,0,0,0,0,0,0,968,329,0,9,10.8174,34,22,22,29,24,32,52,84,148,101,145,289,1741,228,11,0,0,0,0,0,0,0
4109,12.1287,0,0,0,0,0,0,0,0,1,2,25,236,3087,694,61,3,0,0,0,0,0,1398,434,0,23,10.1266,150,80,72,74,61,56,73,95,215,160,181,385,2262,242,3,0,0,0,0,0,0,0
5680,12.1551,0,0,0,0,0,0,0,1,0,6,21,231,4336,999,81,4,1,0,0,0,0,1942,626,0,40,10.6021,67,50,88,56,99,69,93,144,334,214,281,524,3254,399,8,0,0,0,0,0,0,0
6788,12.1413,0,0,0,0,0,0,0,0,0,0,15,208,5434,1068,60,3,0,0,0,0,0,2495,864,0,50,10.9697,42,33,73,62,58,73,68,129,338,228,318,647,4225,480,14,0,0,0,0,0,0,0
7837,12.1314,0,0,0,0,0,0,0,0,0,1,15,255,6313,1192,57,4,0,0,0,0,0,2958,963,0,43,10.9539,59,54,72,80,60,68,86,149,393,265,332,750,4937,522,10,0,0,0,0,0,0,0
512,12.1895,0,0,0,0,0,0,0,0,0,1,16,103,195,162,32,3,0,0,0,0,0,0,0,0,0,0.7422,291,126,49,33,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,12.3302,0,0,0,0,0,0,0,0,0,1,9,95,191,172,51,5,0,0,0,0,0,0,0,0,0,0.9179,274,146,53,17,16,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
980,12.2082,0,0,0,0,0,0,0,0,0,1,19,184,424,280,67,5,0,0,0,0,0,0,1,0,1,0.7908,535,250,123,34,24,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,12.3111,0,0,0,0,0,0,0,0,0,2,17,147,618,446,70,2,0,0,0,0,0,75,37,0,1,6.4869,130,81,87,81,74,77,85,97,101,108,105,102,139,32,3,0,0,0,0,0,0,0
1717,12.4997,0,0,0,0,0,0,0,0,0,1,5,77,827,668,137,2,0,0,0,0,0,193,50,0,0,10.3896,33,25,19,20,33,36,51,50,75,102,130,209,562,321,51,0,0,0,0,0,0,0
