N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
4587,12.0998,0,0,0,0,0,0,0,0,4,4,39,174,3711,577,73,5,0,0,0,0,0,2289,705,0,25,10.557,151,81,73,46,47,44,45,72,191,125,144,254,3094,217,3,0,0,0,0,0,0,0
5709,12.0629,0,0,0,0,0,0,0,0,0,5,50,206,4810,599,36,3,0,0,0,0,0,3027,966,0,43,11.0883,62,27,52,43,45,36,51,74,245,156,207,360,4101,247,3,0,0,0,0,0,0,0
7222,12.0486,0,0,0,0,0,0,0,0,2,8,43,275,6193,664,31,6,0,0,0,0,0,3885,1326,0,62,11.1605,29,33,72,45,57,43,69,106,359,176,211,412,5339,270,1,0,0,0,0,0,0,0
8569,12.0462,0,0,0,0,0,0,0,1,4,11,64,261,7431,758,36,3,0,0,0,0,0,4817,1614,0,78,11.3865,14,20,56,45,45,36,40,82,392,180,234,463,6570,387,5,0,0,0,0,0,0,0
9515,12.0491,0,0,0,0,0,0,0,0,0,6,43,251,8421,768,24,2,0,0,0,0,0,5459,1824,0,92,11.3805,15,21,74,45,56,37,41,80,493,175,205,482,7393,393,5,0,0,0,0,0,0,0
651,12.3948,0,0,0,0,0,0,0,0,0,0,4,84,279,222,59,3,0,0,0,0,0,9,7,0,1,1.7481,287,155,73,33,16,21,13,13,8,12,5,4,9,2,0,0,0,0,0,0,0,0
662,12.3958,0,0,0,0,0,0,0,0,0,0,8,84,272,236,60,2,0,0,0,0,0,3,5,0,2,1.7538,282,162,63,39,26,24,21,11,8,10,6,6,3,1,0,0,0,0,0,0,0,0
1212,12.4992,0,0,0,0,0,0,0,0,0,0,6,68,563,467,106,2,0,0,0,0,0,129,32,0,2,7.5619,109,93,57,53,49,48,60,51,67,84,101,96,209,110,25,0,0,0,0,0,0,0
1713,12.4822,0,0,0,0,0,0,0,0,0,0,4,61,884,635,127,2,0,0,0,0,0,373,81,0,1,10.2831,48,35,35,31,34,28,41,57,56,68,92,179,642,295,72,0,0,0,0,0,0,0
2273,12.1007,0,0,0,0,0,0,0,0,1,5,11,95,1826,306,28,1,0,0,0,0,0,989,454,0,2,10.9208,48,19,23,22,19,23,27,38,39,67,88,169,1566,123,2,0,0,0,0,0,0,0
3111,12.1421,0,0,0,0,0,0,0,0,0,2,15,97,2480,461,54,2,0,0,0,0,0,1234,728,0,0,11.3301,18,11,13,19,20,22,30,36,65,89,127,243,2179,226,13,0,0,0,0,0,0,0
4186,12.1037,0,0,0,0,0,0,0,0,0,1,21,151,3429,540,42,2,0,0,0,0,0,1973,758,0,0,11.2972,30,26,27,21,26,18,37,61,68,114,195,263,3016,277,7,0,0,0,0,0,0,0
5491,12.0523,0,0,0,0,0,0,0,0,1,4,28,247,4658,504,45,4,0,0,0,0,0,3190,710,0,0,11.3928,38,22,24,20,35,40,38,70,51,130,201,339,4231,247,5,0,0,0,0,0,0,0
6576,12.035,0,0,0,0,0,0,0,0,0,7,48,267,5673,551,27,3,0,0,0,0,0,4029,813,0,4,11.5879,27,19,28,17,21,16,34,44,64,113,194,388,5284,323,4,0,0,0,0,0,0,0
7606,12.0243,0,0,0,0,0,0,0,0,1,4,51,263,6749,513,22,3,0,0,0,0,0,5059,883,0,0,11.7833,13,4,3,2,6,8,21,46,43,104,212,383,6417,337,7,0,0,0,0,0,0,0
482,12.4855,0,0,0,0,0,0,0,0,0,0,4,49,194,180,54,1,0,0,0,0,0,0,4,0,0,1.9689,189,93,64,36,24,19,16,19,10,7,1,2,1,1,0,0,0,0,0,0,0,0
510,12.4804,0,0,0,0,0,0,0,0,0,0,4,51,211,186,56,2,0,0,0,0,0,1,8,0,1,2.8157,170,95,59,33,24,21,27,17,14,14,12,12,6,4,2,0,0,0,0,0,0,0
942,12.1062,0,0,0,0,0,0,0,0,0,1,1,39,767,125,8,1,0,0,0,0,0,333,301,0,0,11.1805,12,7,7,4,8,5,9,7,19,27,39,78,666,52,2,0,0,0,0,0,0,0
1317,12.0866,0,0,0,0,0,0,0,0,0,0,6,39,1124,132,15,1,0,0,0,0,0,543,409,0,0,11.5209,10,4,3,4,6,4,10,9,12,26,36,87,1043,61,2,0,0,0,0,0,0,0
1876,12.1077,0,0,0,0,0,0,0,0,0,1,6,82,1516,243,28,0,0,0,0,0,0,689,522,0,0,10.8998,48,31,18,17,13,14,8,23,34,51,65,130,1326,96,2,0,0,0,0,0,0,0
2453,12.086,0,0,0,0,0,0,0,0,0,0,18,90,2039,276,29,1,0,0,0,0,0,961,682,0,0,11.073,57,39,12,8,16,16,24,19,28,51,90,158,1826,105,4,0,0,0,0,0,0,0
3205,12.0808,0,0,0,0,0,0,0,0,0,1,21,113,2697,333,36,4,0,0,0,0,0,1176,1058,0,0,11.2028,49,32,25,18,19,14,18,29,48,75,97,225,2422,132,2,0,0,0,0,0,0,0
4059,12.0485,0,0,0,0,0,0,0,0,0,5,33,187,3404,399,27,4,0,0,0,0,0,1475,1416,0,0,11.3644,34,32,19,17,20,24,29,37,47,86,118,294,3118,182,2,0,0,0,0,0,0,0
5208,12.0476,0,0,0,0,0,0,0,0,0,8,36,215,4444,453,50,2,0,0,0,0,0,1906,1922,0,0,11.6167,19,11,2,15,13,24,21,35,50,86,174,362,4152,239,5,0,0,0,0,0,0,0
6123,12.0314,0,0,0,0,0,0,0,0,0,8,56,250,5265,512,30,2,0,0,0,0,0,2354,2118,0,0,11.6629,21,6,13,10,15,12,38,33,41,71,203,432,4948,274,6,0,0,0,0,0,0,0
398,12.3241,0,0,0,0,0,0,0,0,0,0,3,57,176,137,20,5,0,0,0,0,0,0,0,1,0,0.4774,271,88,25,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,12.5049,0,0,0,0,0,0,0,0,0,0,2,41,167,154,40,6,0,0,0,0,0,0,1,0,0,0.6976,260,88,31,14,8,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
662,12.6012,0,0,0,0,0,0,0,0,0,0,0,30,275,288,67,2,0,0,0,0,0,55,20,0,0,8.1148,28,41,22,26,41,24,33,33,50,58,55,71,109,59,12,0,0,0,0,0,0,0
839,12.4529,0,0,0,0,0,0,0,0,0,0,4,32,431,327,43,1,1,0,0,0,0,121,67,0,1,9.7223,26,25,16,9,23,28,31,30,34,63,53,84,284,118,15,0,0,0,0,0,0,0
1308,12.4006,0,0,0,0,0,0,0,0,0,0,5,47,739,456,58,3,0,0,0,0,0,298,130,0,0,10.3326,14,21,16,23,17,30,36,51,61,81,99,145,504,188,22,0,0,0,0,0,0,0
1674,12.3955,0,0,0,0,0,0,0,0,0,1,2,48,986,560,74,3,0,0,0,0,0,521,158,0,0,11.2539,27,18,14,7,10,21,18,23,33,37,62,144,872,339,49,0,0,0,0,0,0,0
2477,12.2265,0,0,0,0,0,0,0,0,0,0,6,104,1765,529,71,2,0,0,0,0,0,859,423,0,1,10.3577,90,61,41,41,40,29,36,36,58,81,106,182,1443,216,17,0,0,0,0,0,0,0
3316,12.1074,0,0,0,0,0,0,0,0,0,1,14,123,2717,420,34,6,1,0,0,0,0,1765,450,0,14,10.9511,51,29,34,38,28,21,34,60,118,88,102,227,2315,165,6,0,0,0,0,0,0,0
3879,12.065,0,0,0,0,0,0,0,0,0,1,19,134,3332,361,30,2,0,0,0,0,0,2295,564,0,13,11.5295,7,8,26,8,15,5,13,32,120,77,99,222,3048,195,4,0,0,0,0,0,0,0
5062,12.0847,0,0,0,0,0,0,0,1,1,3,31,201,4172,601,47,5,0,0,0,0,0,2746,665,0,22,11.0454,46,46,44,43,46,46,56,86,173,145,148,304,3646,230,3,0,0,0,0,0,0,0
255,12.3255,0,0,0,0,0,0,0,0,2,0,2,35,105,93,17,1,0,0,0,0,0,0,0,0,0,1.5882,99,57,37,26,15,7,3,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0
272,12.5588,0,0,0,0,0,0,0,0,0,0,1,26,110,94,37,4,0,0,0,0,0,0,1,0,1,1.1765,135,75,19,16,8,7,4,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0
567,12.4603,0,0,0,0,0,0,0,0,0,1,1,50,250,216,47,2,0,0,0,0,0,19,19,0,0,4.164,105,77,61,49,52,42,36,31,18,23,21,23,27,2,0,0,0,0,0,0,0,0
701,12.5449,0,0,0,0,0,0,0,0,0,0,1,24,325,296,53,2,0,0,0,0,0,98,69,0,4,10.2496,10,10,4,11,21,15,13,30,44,42,56,91,226,108,20,0,0,0,0,0,0,0
923,12.4854,0,0,0,0,0,0,0,0,0,0,0,22,490,352,59,0,0,0,0,0,0,212,72,0,1,10.8949,6,3,4,7,10,15,19,25,41,61,68,121,354,162,27,0,0,0,0,0,0,0
1138,12.1582,0,0,0,0,0,0,0,0,0,0,1,24,924,172,17,0,0,0,0,0,0,426,272,0,27,10.2636,12,17,27,13,19,11,24,24,127,55,48,74,613,70,4,0,0,0,0,0,0,0
1904,12.24,0,0,0,0,0,0,0,0,0,1,8,58,1353,439,41,3,1,0,0,0,0,557,381,0,34,9.9937,49,30,38,41,33,36,42,54,161,99,93,169,887,163,9,0,0,0,0,0,0,0
